CPR,label,CT,UM,NC,CS,PC,CP,T,PB,AV,SRBP,ATPB,RE,TG,CH,CTS
9,1,0.98,0.42,8,0.01,1756.2,42.65,64770.46,3925,0.87,0.04,2.47,0.45,1,33,0
7,1,0.2,0.43,4,0.64,2376.53,48.6,62746.89,1370,0.44,0.75,2.46,0.4,4,95,1
9,1,0.57,0.41,5,0.69,5319.72,41.58,93168.21,125,0.89,0.79,1.92,0.4,4,71,0
0,1,0.72,0.25,10,0.53,1351.51,65.19,34506.63,4737,0.93,0.79,4.48,0.17,3,60,1
2,0,0.71,0.04,6,0.1,8166.19,27.11,68498.21,844,0.31,0.53,2.4,0.39,2,23,0
5,0,0.16,0.67,9,0.96,4125.8,14.2,89409.48,788,0.06,0.4,1.11,0.59,2,26,1
8,1,0.96,0.67,9,0.88,9708.16,77.44,42866.34,2418,0.66,0.71,4.45,0.95,4,95,1
3,1,0.92,0.01,7,0.95,7170.88,67.65,37722.61,381,0.37,0.25,1.46,0.61,1,37,0
9,0,0.81,0.31,6,0.57,9646.36,98.45,79763.55,2989,0.83,0.4,1.04,0.99,3,25,2
0,0,0.02,0.65,6,0.42,9178.29,45.81,63061.79,487,0.9,0.02,4.24,0.67,4,9,2
5,1,0.64,0.0,4,0.18,4886.51,4.6,82830.83,1808,0.49,0.92,0.65,0.33,1,72,0
6,1,0.29,0.38,10,0.04,9160.44,65.5,140.18,760,0.24,0.79,1.95,0.46,2,5,2
1,1,0.34,0.67,9,0.18,7632.63,37.57,83244.43,3297,0.54,0.43,3.51,0.27,3,27,2
7,0,0.39,0.54,8,0.97,7873.83,80.06,85033.53,1212,0.79,0.47,2.81,0.95,2,75,0
8,0,0.63,0.53,8,0.99,5550.92,67.94,66547.98,3314,0.43,0.03,2.7,0.5,3,64,1
9,1,0.36,0.87,6,0.76,4419.4,36.09,39671.02,2942,0.34,0.7,2.46,0.47,1,43,0
5,0,0.97,0.86,6,0.22,5241.59,95.03,17546.32,4792,0.25,0.89,2.83,0.83,4,93,1
6,1,0.06,0.05,7,0.09,6302.69,23.68,30832.88,4011,0.51,0.12,0.26,0.66,3,71,2
7,0,0.76,0.38,7,0.05,8469.07,48.52,25710.19,596,0.12,0.57,2.37,0.63,5,57,2
7,0,0.29,0.58,10,0.7,4104.0,7.72,4198.44,4973,0.01,0.31,4.04,0.19,1,90,0
1,0,0.78,0.54,6,0.2,9515.85,1.63,88407.37,480,0.0,0.32,2.28,0.86,1,43,2
1,1,0.47,0.9,7,0.26,2398.1,11.76,43359.93,4977,0.48,0.89,1.06,0.19,1,93,2
8,1,0.41,0.44,9,0.11,8193.46,67.45,30199.71,4575,0.53,0.82,2.35,0.81,1,72,1
9,0,0.26,0.91,7,0.9,6375.33,63.34,13555.38,1685,0.8,0.98,1.71,0.44,1,89,0
1,1,0.59,0.73,7,0.24,7944.89,62.29,62233.78,2638,0.92,0.7,3.71,0.67,4,66,0
7,0,0.48,0.96,6,0.23,299.92,42.4,22989.46,1134,0.86,0.89,3.95,0.14,1,96,0
9,0,0.29,0.6,5,0.5,3142.39,67.09,66724.8,4710,0.35,0.45,4.65,0.17,5,81,1
